name,price,link_picture,Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (max.),Anzahl Teile,Sicherheitswarnung,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Paketgewicht,ASIN,Vorgeschlagenes Geschlecht_ Junge ,Vorgeschlagenes Geschlecht_ Junge/Mädchen ,Material_ Kunststoff ,Material_nan,Produktfarbe_encoded,Verpackungsart_encoded,Produkttyp_ Bausatz ,Ursprungsland_ China ,Ursprungsland_ Dänemark ,Ursprungsland_ Indonesien ,Ursprungsland_ Thailand ,Ursprungsland_ Tschechische Republik ,Ursprungsland_ Ungarn ,Ursprungsland_ Österreich ,EU_TSD_Warnung_ Keine Warnung zutreffend ,"EU_TSD_Warnung_ Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",EU_TSD_Warnung_ Nicht für Kinder unter 18 Monaten geeignet ,EU_TSD_Warnung_ Nicht für Kinder unter 36 Monaten geeignet ,"EU_TSD_Warnung_ Nicht für Kinder unter 36 Monaten geeignet, Keine Warnung zutreffend ","EU_TSD_Warnung_ Nicht für Kinder unter 36 Monaten geeignet, Nur für häuslichen Gebrauch bestimmt "
LEGO City - Passagierflugzeug (60367),119.0,https://www.fcw.ch/api/ProcessRequest/191570/BN/268x166-lego-city-passagierflugzeug-60367.jpg?sourceId=886604&source=Product,7,99,913, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,480,94,1, B0BV793KD1 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Star Wars - Ahsoka Tanos T-6 Jedi Shuttle (75362),89.95,https://www.fcw.ch/api/ProcessRequest/191578/BN/268x166-lego-star-wars-ahsoka-tanos-t-6-jedi-shuttle-75362.jpg?sourceId=886661&source=Product,9,99,601, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,382,70,877, B0BV7HND4Q ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Technic - Ferrari 488 GTE “AF Corse #51” (42125),209.0,https://www.fcw.ch/api/ProcessRequest/135015/BN/268x166-lego-technic-ferrari-488-gte-af-corse-51-42125.jpg?sourceId=861132&source=Product,18,99,1684, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,480,112,2, B08G4PB494 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Ninjago - Jays Donnerdrache EVO (71760),24.95,https://www.fcw.ch/api/ProcessRequest/136363/BN/268x166-lego-ninjago-jays-donnerdrache-evo-71760.jpg?sourceId=870356&source=Product,6,99,140, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,191,205,46,222, B09BNWJRJ3 ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Technic - Bugatti-Bolide (42151),59.95,https://www.fcw.ch/api/ProcessRequest/169309/BN/268x166-lego-technic-bugatti-bolide-42151.jpg?sourceId=880380&source=Product,9,99,905, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,382,70,882, B0BBRZ6JB2 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Ninjago - Lloyds Rennwagen EVO (71763),36.95,https://www.fcw.ch/api/ProcessRequest/135557/BN/268x166-lego-ninjago-lloyds-rennwagen-evo-71763.jpg?sourceId=870359&source=Product,6,99,279, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,191,354,59,475, B09BNTJMND ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Der Herr der Ringe - Bruchtal (10316),589.0,https://www.fcw.ch/api/ProcessRequest/185885/BN/268x166-lego-der-herr-der-ringe-bruchtal-10316.jpg?sourceId=887622&source=Product,18,99,6167, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,480,523,218,6, B0BVMZ5NT5 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Harry Potter - Dobby der Hauself (76421),39.95,https://www.fcw.ch/api/ProcessRequest/188459/BN/268x166-lego-harry-potter-dobby-der-hauself-76421.jpg?sourceId=886653&source=Product,8,99,403, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,191,72,436, B0BPCBLRHB ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Star Wars - Ahsokas Clone Trooper™ der 332. Kompanie – Battle Pack (75359),26.95,https://www.fcw.ch/api/ProcessRequest/190739/BN/268x166-lego-star-wars-ahsokas-clone-trooper-der-332-kompanie-battle-pack-75359.jpg?sourceId=886659&source=Product,6,99,108, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,191,46,131, B0BV7CGFPC ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Speed Champions - Porsche 963 (76916),32.95,https://www.fcw.ch/api/ProcessRequest/177551/BN/268x166-lego-speed-champions-porsche-963-76916.jpg?sourceId=880423&source=Product,9,99,280, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,262,72,319, B0BBS95585 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Harry Potter - Schloss Hogwarts (71043),529.0,https://www.fcw.ch/api/ProcessRequest/56261/BN/268x166-lego-harry-potter-schloss-hogwarts-71043.jpg?sourceId=846418&source=Product,16,99,6020, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,490,595,190,7, B07BLDTWVW ,0.0,1.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
LEGO Star Wars - New Republic E-Wing™ vs. Shin Hatis Starfighter™ (75364),119.0,https://www.fcw.ch/api/ProcessRequest/191515/BN/268x166-lego-star-wars-new-republic-e-wing-vs-shin-hatis-starfighter-75364.jpg?sourceId=886663&source=Product,9,99,1056, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,282,540,59,1, B0BV7HBF6R ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Technic - Yamaha MT-10 SP (42159),239.0,https://www.fcw.ch/api/ProcessRequest/190657/BN/268x166-lego-technic-yamaha-mt-10-sp-42159.jpg?sourceId=886680&source=Product,18,99,1478, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,582,87,2, B0BV7F6767 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Ninjago - Soras Mech-Bike (71792),54.95,https://www.fcw.ch/api/ProcessRequest/188754/BN/268x166-lego-ninjago-soras-mech-bike-71792.jpg?sourceId=886634&source=Product,8,99,384, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,282,59,526, B0BPCBP5ZV ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Creator 3-in-1 - Weltraum Achterbahn (31142),119.0,https://www.fcw.ch/api/ProcessRequest/190844/BN/268x166-lego-creator-3-in-1-weltraum-achterbahn-31142.jpg?sourceId=886574&source=Product,9,99,874, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,282,540,78,1, B0BV7F29QL ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Star Wars - Luke Skywalkers X-Wing Fighter (75301),59.95,https://www.fcw.ch/api/ProcessRequest/97069/BN/268x166-lego-star-wars-luke-skywalkers-x-wing-fighter-75301.jpg?sourceId=861194&source=Product,9,99,474, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,382,70,710, B08G4GP34B ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Icons - Chevrolet Camaro Z28 (10304),179.0,https://www.fcw.ch/api/ProcessRequest/179429/BN/268x166-lego-icons-chevrolet-camaro-z28-10304.jpg?sourceId=880446&source=Product,18,99,1456, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,282,480,118,1, B0B84V2W8D ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Icons - Wildblumenstrauß (10313),74.95,https://www.fcw.ch/api/ProcessRequest/174920/BN/268x166-lego-icons-wildblumenstrauss-10313.jpg?sourceId=880390&source=Product,18,99,939, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,382,262,56,615, B00BLHX6J8 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Technic - McLaren Formel 1 Rennwagen (42141),209.0,https://www.fcw.ch/api/ProcessRequest/134449/BN/268x166-lego-technic-mclaren-formel-1-rennwagen-42141.jpg?sourceId=870475&source=Product,18,99,1434, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,582,87,2, B09BNYBN8B ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Icons - Garten der Stille (10315),119.0,https://www.fcw.ch/api/ProcessRequest/190601/BN/268x166-lego-icons-garten-der-stille-10315.jpg?sourceId=886683&source=Product,18,99,1363, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,282,480,91,1, B00BLHZED4 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Technic - NASA Mars Rover Perseverance (42158),109.0,https://www.fcw.ch/api/ProcessRequest/188333/BN/268x166-lego-technic-nasa-mars-rover-perseverance-42158.jpg?sourceId=886679&source=Product,10,99,1132, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,382,118,1, B0BPC8W2GD ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Star Wars - Chewbacca™ (753371),219.0,https://www.fcw.ch/api/ProcessRequest/191583/BN/268x166-lego-star-wars-chewbacca-753371.jpg?sourceId=886668&source=Product,18,99,2319, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,582,378,103,2, B0BV7DR4B6 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Star Wars - BD-1 (75335),119.0,https://www.fcw.ch/api/ProcessRequest/149817/BN/268x166-lego-star-wars-bd-1-75335.jpg?sourceId=874249&source=Product,14,99,1062, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,354,70,1, B09QFS7ZP9 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Duplo - Feuerwehrauto (10969),36.95,https://www.fcw.ch/api/ProcessRequest/134458/BN/268x166-lego-duplo-feuerwehrauto-10969.jpg?sourceId=870414&source=Product,2,99,21, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,282,95,593, B09BNTZH9C ,0.0,1.0,1.0,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
LEGO Ninjago - Jays Golddrachen-Motorrad (71768),24.95,https://www.fcw.ch/api/ProcessRequest/140072/BN/268x166-lego-ninjago-jays-golddrachen-motorrad-71768.jpg?sourceId=874216&source=Product,7,99,137, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,262,61,257, B09QFLHYNB ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO LEGO 71454 DREAMZzz Mateo und Roboter Z-Blob (71454),24.95,https://www.fcw.ch/api/ProcessRequest/190477/BN/268x166-lego-lego-71454-dreamzzz-mateo-und-roboter-z-blob-71454.jpg?sourceId=886640&source=Product,7,99,237, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,191,262,46,304, B0BV7D8WN2 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Technic - Batmans Batmobil (42127),119.0,https://www.fcw.ch/api/ProcessRequest/134909/BN/268x166-lego-technic-batmans-batmobil-42127.jpg?sourceId=870322&source=Product,10,99,1360, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,282,480,118,1, B09BNXPW7K ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Icons - Ghostbusters ECTO-1 (10274),269.0,https://www.fcw.ch/api/ProcessRequest/100133/BN/268x166-lego-icons-ghostbusters-ecto-1-10274.jpg?sourceId=861195&source=Product,18,99,2352, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,582,118,3, B08G4PD84J ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Technic - BMW M 1000 RR (42130),269.0,https://www.fcw.ch/api/ProcessRequest/128269/BN/268x166-lego-technic-bmw-m-1000-rr-42130.jpg?sourceId=870471&source=Product,18,99,1920, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,582,103,2, B09BNVCY6R ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
LEGO Icons - Vespa 125 (10298),119.0,https://www.fcw.ch/api/ProcessRequest/127901/BN/268x166-lego-icons-vespa-125-10298.jpg?sourceId=870476&source=Product,18,99,1107, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,282,480,91,1, B09BNX43N7 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Technic - Umschlagbagger (42144),139.0,https://www.fcw.ch/api/ProcessRequest/148291/BN/268x166-lego-technic-umschlagbagger-42144.jpg?sourceId=874270&source=Product,10,99,835, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,354,94,1, B09QFK4CHT ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Technic - Lamborghini Sián FKP 37 (42115),489.0,https://www.fcw.ch/api/ProcessRequest/53644/BN/268x166-lego-technic-lamborghini-sian-fkp-37-42115.jpg?sourceId=855840&source=Product,8,99,3696, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,191,354,70,6, B08G4SR6C8 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
LEGO Architecture - Burg Himeji (21060),169.0,https://www.fcw.ch/api/ProcessRequest/190631/BN/268x166-lego-architecture-burg-himeji-21060.jpg?sourceId=886686&source=Product,18,99,2125, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,480,112,2, B0BV7CP5CB ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Ninjago - Ninja-Dojotempel (71767),119.0,https://www.fcw.ch/api/ProcessRequest/135060/BN/268x166-lego-ninjago-ninja-dojotempel-71767.jpg?sourceId=870362&source=Product,8,99,1394, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,480,94,1, B09BNYF6SN ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Ninjago - Lloyds Mech-Duell EVO (71781),24.95,https://www.fcw.ch/api/ProcessRequest/169848/BN/268x166-lego-ninjago-lloyds-mech-duell-evo-71781.jpg?sourceId=880352&source=Product,6,99,223, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,262,72,311, B0BBRX4GVB ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Star Wars - Darth Vader Helm (75304),99.0,https://www.fcw.ch/api/ProcessRequest/126269/BN/268x166-lego-star-wars-darth-vader-helm-75304.jpg?sourceId=861247&source=Product,18,99,834, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,354,191,118,1, B08G4GPS3Q ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Speed Champions - Ferrari 812 Competizione (76914),32.95,https://www.fcw.ch/api/ProcessRequest/177648/BN/268x166-lego-speed-champions-ferrari-812-competizione-76914.jpg?sourceId=880421&source=Product,9,99,261, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,262,72,323, B0BBRWGLY8 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO LEGO DREAMZzz Mrs. Castillos Schildkrötenbus (71456),54.95,https://www.fcw.ch/api/ProcessRequest/190495/BN/268x166-lego-lego-dreamzzz-mrs-castillos-schildkroetenbus-71456.jpg?sourceId=886642&source=Product,7,99,434, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,222,262,76,575, B0BV7CXWJN ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO City - Mond-Rover (60348),42.95,https://www.fcw.ch/api/ProcessRequest/128645/BN/268x166-lego-city-mond-rover-60348.jpg?sourceId=870442&source=Product,6,99,275, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,282,59,460, B09BNVWC2L ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
LEGO Speed Champions - Lamborghini Countach (76908),32.95,https://www.fcw.ch/api/ProcessRequest/134406/BN/268x166-lego-speed-champions-lamborghini-countach-76908.jpg?sourceId=870447&source=Product,8,99,262, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,262,72,305, B09BNTTYDL ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
LEGO Speed Champions - 1970 Ferrari 512 M (76906),32.95,https://www.fcw.ch/api/ProcessRequest/128272/BN/268x166-lego-speed-champions-1970-ferrari-512-m-76906.jpg?sourceId=870445&source=Product,8,99,291, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,262,72,320, B09BNWR3VR ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
LEGO Speed Champions - 2 Fast 2 Furious – Nissan Skyline GT-R R34 (76917),32.95,https://www.fcw.ch/api/ProcessRequest/177442/BN/268x166-lego-speed-champions-2-fast-2-furious-nissan-skyline-gt-r-r34-76917.jpg?sourceId=880282&source=Product,9,99,319, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,262,72,339, B0BBRXC9HN ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO City - Hubschrauber Transporter (60343),36.95,https://www.fcw.ch/api/ProcessRequest/137349/BN/268x166-lego-city-hubschrauber-transporter-60343.jpg?sourceId=870346&source=Product,5,99,215, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,191,354,91,530, B09BNV7PBF ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Technic - Monster Jam Dragon (42149),26.95,https://www.fcw.ch/api/ProcessRequest/170065/BN/268x166-lego-technic-monster-jam-dragon-42149.jpg?sourceId=880378&source=Product,7,99,217, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,262,91,373, B0BBRXXNQR ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
